,Core_replaced,cores,thread
316,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
317,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
318,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
319,"4 Core, 8 Threads",4 Core, 8 Threads
320,"4 Core, 8 Threads",4 Core, 8 Threads
321,"4 Core, 8 Threads",4 Core, 8 Threads
322,"4 Core, 8 Threads",4 Core, 8 Threads
323,"6 Core, 12 Threads",6 Core, 12 Threads
324,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
325,"8 Core, 16 Threads",8 Core, 16 Threads
326,"8 Core, 16 Threads",8 Core, 16 Threads
327,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
328,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
329,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
330,"4 Core, 8 Threads",4 Core, 8 Threads
331,"2 Core, 2 Threads",2 Core, 2 Threads
332,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
333,"8 Core, 16 Threads",8 Core, 16 Threads
334,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
335,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
336,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
337,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
338,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
339,"2 Core, 4 Threads",2 Core, 4 Threads
340,"2 Core, 4 Threads",2 Core, 4 Threads
341,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
342,"2 Core, 4 Threads",2 Core, 4 Threads
343,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
344,"8 Core, 8 Threads",8 Core, 8 Threads
345,"4 Core, 8 Threads",4 Core, 8 Threads
346,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
347,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
348,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
349,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
